Test,Sample,uCT Folder,uCT File,Remark
1,385_L,2997,C0002769,
2,385_R,2998,C0002770,
3,386_L,2999,C0002771,
4,387_L,3000,C0002772,
5,388_L,3001,C0002773,
6,388_R,3002,C0002774,
7,389_L,3003,C0002775,
8,389_R,3004,C0002776,
9,390_R,,,prod. Failure
10,392_L,3005,C0002777,
11,392_R,3006,C0002778,
12,394_L,3007,C0002779,
13,394_R,3008,C0002780,
14,395_L,3009,C0002781,
15,395_R,,,prod. Failure
16,397_L,3010,C0002782,
17,397_R,3011,C0002783,
18,398_R,3012,C0002784,
19,399_L,3013,C0002785,
20,399_R,3014,C0002786,
21,400_l,3015,C0002787,
22,400_R,3016,C0002788,MTS failure
23,401_L,3017,C0002789,sample predamaged (fail. Testing)
24,401_R,3018,C0002790,
25,402_L,,,prod. Failure
26,402_R,3019,C0002791,
27,403_L,3020,C0002792,
28,403_R,3021,C0002793,
29,404_L,3022,C0002794,
30,404_R,3023,C0002795,
31,409_R,3024,C0002796,
32,415_R,3025,C0002797,
33,416_R,3026,C0002798,
34,419_L,3027,C0002799,
35,419_R,3028,C0002800,
36,420_R,3029,C0002801,
37,421_L,3030,C0002802,
38,433_L,3031,C0002803,MTS failure
39,433_R,3032,C0002804,
40,437_R,3033,C0002805,
