;;;Haversian canals / %;Osteocytes / %;Cement lines / %;;;;;;
Donor_01;Right;1;4.844622599;11.63855269;19.50111495;4.87340835;0.07975376;11.82552862;0.352747035;19.67336238;0.25153989
Donor_01;Right;2;4.963558717;12.23240208;19.55695108;;;;;;
Donor_01;Right;3;4.812043732;11.60563108;19.96202111;;;;;;
Donor_01;Left;1;5.334427137;10.16022337;18.81446434;5.250394995;0.560472901;11.16563161;1.871732096;18.54586076;0.336626429
Donor_01;Left;2;5.764107115;10.01145711;18.65488271;;;;;;
Donor_01;Left;3;4.652650733;13.32521434;18.16823524;;;;;;
Donor_02;Right;1;5.57065812;8.576907646;17.45285109;5.994028393;0.393930719;7.700339422;1.221748696;17.40302603;0.703642207
Donor_02;Right;2;6.349760815;6.304772181;18.0804314;;;;;;
Donor_02;Right;3;6.061666244;8.219338438;16.67579558;;;;;;
Donor_02;Left;1;5.273564013;8.55566747;19.41364545;5.712507951;0.541421675;8.045084433;1.083427997;19.35083563;0.10284656
Donor_02;Left;2;5.546449642;8.778880851;19.40671536;;;;;;
Donor_02;Left;3;6.317510198;6.800704977;19.23214607;;;;;;
Donor_03;Right;1;5.852160326;10.34024599;18.06811196;5.793540248;0.185341919;9.24924657;1.002362631;18.26499085;0.38410479
Donor_03;Right;2;5.942483938;8.369051407;18.0192421;;;;;;
Donor_03;Right;3;5.58597648;9.038442316;18.70761849;;;;;;
Donor_03;Left;1;4.112760631;10.7020841;18.99345351;4.176733017;0.351140096;10.97846015;3.092868288;19.30764981;1.178840251
Donor_03;Left;2;4.555461214;8.033055066;20.61175487;;;;;;
Donor_03;Left;3;3.861977206;14.20024128;18.31774105;;;;;;
Donor_04;Right;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_04;Right;2;;;;;;;;;
Donor_04;Right;3;;;;;;;;;
Donor_04;Left;1;6.239030961;6.76802636;17.52238626;6.406010195;0.18080332;6.837740535;0.129804216;16.90567925;0.544338956
Donor_04;Left;2;6.598027652;6.987506652;16.49216277;;;;;;
Donor_04;Left;3;6.380971972;6.757688595;16.70248873;;;;;;
Donor_05;Right;1;7.590465853;7.668720192;15.79770746;7.708362511;0.376813269;6.815860493;0.795711377;16.05672326;0.382696348
Donor_05;Right;2;8.130027704;6.0934081;15.87616729;;;;;;
Donor_05;Right;3;7.404593976;6.685453188;16.49629503;;;;;;
Donor_05;Left;1;7.153837905;6.33477284;18.40303127;7.246678104;0.20845703;5.66579039;0.665325017;19.07651685;0.819509309
Donor_05;Left;2;7.485425675;5.65841419;18.83757883;;;;;;
Donor_05;Left;3;7.100770732;5.00418414;19.98894044;;;;;;
Donor_06;Right;1;4.89448933;10.33141261;16.96610748;4.916172102;0.200893527;11.2038859;0.764492956;15.89027509;0.947065028
Donor_06;Right;2;4.726999484;11.52375136;15.18244516;;;;;;
Donor_06;Right;3;5.127027494;11.75649372;15.52227264;;;;;;
Donor_06;Left;1;4.523757681;12.45745791;17.06883545;4.404037409;0.401632729;12.60732198;1.87760497;16.85108369;0.201628388
Donor_06;Left;2;4.732196784;10.80914003;16.81356699;;;;;;
Donor_06;Left;3;3.956157762;14.55536799;16.67084862;;;;;;
Donor_07;Right;1;5.918631064;8.900107985;16.60339934;5.890748003;0.19066235;9.105712449;0.585414572;16.78519832;0.908230416
Donor_07;Right;2;5.687679444;8.650836167;17.77057773;;;;;;
Donor_07;Right;3;6.065933501;9.766193194;15.98161788;;;;;;
Donor_07;Left;1;5.322746888;7.980566042;16.25427097;5.518894831;0.47082843;7.718100881;1.226898301;17.32678359;0.93471008
Donor_07;Left;2;6.056085984;6.381209365;17.75830004;;;;;;
Donor_07;Left;3;5.177851622;8.792527236;17.96777976;;;;;;
Donor_08;Right;1;8.696861706;7.165448952;15.30105527;8.537204283;0.260406501;6.518452093;0.753069671;16.17877002;1.116434352
Donor_08;Right;2;8.678042007;6.698103967;15.79992434;;;;;;
Donor_08;Right;3;8.236709135;5.691803361;17.43533044;;;;;;
