Sample ID;Haversian canals mean / %;Haversian canals std / %;Osteocytes mean / %;Osteocytes std / %;Cement lines mean / %;Cement lines std / %
385L;5.250394995;0.560472901;11.16563161;1.871732096;18.54586076;0.336626429
385R;4.87340835;0.07975376;11.82552862;0.352747035;19.67336238;0.25153989
386L;5.712507951;0.541421675;8.045084433;1.083427997;19.35083563;0.10284656
386R;5.994028393;0.393930719;7.700339422;1.221748696;17.40302603;0.703642207
387L;4.176733017;0.351140096;10.97846015;3.092868288;19.30764981;1.178840251
387R;5.793540248;0.185341919;9.24924657;1.002362631;18.26499085;0.38410479
388L;6.406010195;0.18080332;6.837740535;0.129804216;16.90567925;0.544338956
388R;;;;;;
389L;7.246678104;0.20845703;5.66579039;0.665325017;19.07651685;0.819509309
389R;7.708362511;0.376813269;6.815860493;0.795711377;16.05672326;0.382696348
390L;4.404037409;0.401632729;12.60732198;1.87760497;16.85108369;0.201628388
390R;4.916172102;0.200893527;11.2038859;0.764492956;15.89027509;0.947065028
392L;5.518894831;0.47082843;7.718100881;1.226898301;17.32678359;0.93471008
392R;5.890748003;0.19066235;9.105712449;0.585414572;16.78519832;0.908230416
393L;7.078787063;0.192660723;6.443171472;0.761087681;17.41814161;0.338733719
393R;8.537204283;0.260406501;6.518452093;0.753069671;16.17877002;1.116434352
394L;4.345499393;0.238471252;12.67927484;1.53003968;17.42224844;0.712736749
394R;5.567120309;0.349350317;13.52127879;0.673089502;16.2513188;0.417247922
395L;5.355836368;0.363105511;12.84562064;1.57400154;16.85906981;0.411768916
395R;3.976791956;1.965246748;12.62144619;1.981514695;13.34686533;3.05423116
396L;4.952617032;0.656475059;8.774309068;1.875055755;18.37321144;0.339260006
396R;5.834680984;0.441317634;7.149356013;1.335125022;18.39194255;0.814562742
397L;7.217317916;0.18458971;5.346319106;0.371977381;17.1518613;0.717054337
397R;7.039934963;0.068385511;5.847448711;0.164776826;17.52643943;0.33882098
398L;4.344031384;0.054886992;11.56516431;1.063533902;18.67368235;0.438701803
398R;4.587347108;0.53544862;8.363427205;1.316739182;18.8644861;0.17936727
399L;7.706684786;0.594240676;7.621934538;0.951254433;16.8189781;0.530009414
399R;7.316850779;0.445239279;8.1049412;1.367104286;16.84475214;0.291362877
400L;5.356228445;0.722297435;13.21874073;1.520431998;14.54687957;0.533903073
400R;5.790239506;0.358443017;10.40673183;1.56120381;17.00368066;0.221212809
401L;6.365981863;0.073848736;7.549197965;0.635096052;19.071924;0.112787581
401R;6.096953178;0.506752247;7.038557474;1.23669615;20.16358279;0.288943401
402L;;;;;;
402R;4.051733382;;14.93467228;;18.23927486;
403L;4.965509985;0.873622612;8.930121707;3.235534822;18.53545421;2.25546749
403R;7.204598207;0.75915361;6.357519398;1.950871069;18.17186003;1.060104421
404L;6.850607336;0.391961497;6.128163508;0.329670437;17.57036327;0.707462363
404R;4.425081917;0.430530057;8.365216555;1.36206681;20.19219771;1.706884158
405L;5.182200942;0.354238798;6.413606775;0.737440974;17.10946383;0.194598446
405R;5.13801477;0.170676384;15.0073426;1.016682453;17.07244166;0.351834272
406L;8.616330903;0.313794885;8.297783706;0.984137833;17.10342911;0.599015585
406R;7.862567328;0.96414634;8.143337635;1.391857391;16.16083931;0.914272355
407L;4.970324326;0.160824036;7.487277561;0.524381441;18.26696296;0.934419926
407R;4.178839291;0.126263036;7.929225011;0.419448392;19.07111685;0.392454606
408L;5.888732909;0.22946878;8.891191647;0.562460778;16.66085439;0.360479492
408R;5.26213907;0.095527971;8.51241686;0.451093576;17.98331947;0.210442447
409L;6.489486135;0.313177297;7.971282394;1.439395778;16.25236461;1.391524496
409R;5.397223292;0.317675857;8.126579386;1.137371978;15.18898177;0.363441091
410L;5.746117161;0.210006038;5.474813569;0.382270891;18.76541445;0.233968836
410R;6.006346907;1.083663758;9.559259661;1.012890489;15.20368565;1.057705568
411L;6.493206308;0.347847546;7.972135205;1.193880704;15.76379792;1.034442006
412L;5.949131011;0.310399772;4.588059065;0.955557016;20.50452028;0.72070858
412R;4.807913246;0.126349453;5.045022012;0.658437247;19.99240302;0.658936259
413L;5.79485325;0.34323813;8.229220353;0.891885508;16.44720825;0.989493961
413R;5.261591986;0.270780239;9.105473971;1.357284327;17.10464796;0.175662418
414L;5.438555508;0.373797731;7.300447783;0.288485036;18.70113818;1.065078948
414R;6.509117342;0.204515892;6.835610552;0.562747618;16.93083;0.462112339
415L;4.661148775;0.473740755;11.31332732;2.676387226;14.22089304;0.627600135
415R;5.050727476;0.376518914;10.89559542;0.833471333;13.99818815;0.264684564
416L;5.080434151;0.484712919;11.27074939;2.167039466;16.28231297;0.747909919
416R;4.282575585;0.38678076;10.85257763;2.036646307;19.77779285;0.643464995
417L;6.8603272;0.102420774;5.550303624;0.566696759;16.10108153;0.198047572
417R;7.472505369;0.2273051;6.163210178;0.793030626;16.07604749;0.568101456
419L;5.594802772;0.368429475;15.44549614;1.98325571;16.90915764;0.862055473
419R;4.267248108;0.12923381;14.18899938;0.845547714;17.64259902;0.471778837
420R;4.222815748;0.455281044;15.17244159;1.101240603;16.0083536;0.350624138
421L;;;;;;
422L;4.254127204;0.151153191;10.37272999;0.450899006;17.37663622;0.345986143
422R;4.976059593;0.0781358;11.57594039;1.293768351;16.35382963;0.36614681
423R;4.362778138;0.346025601;10.13221157;1.864520374;21.99938681;0.098306425
426R;6.40664846;0.475156246;8.903561998;2.271275085;14.04133064;0.456982167
427L;4.330044263;0.788353767;8.463481165;2.81461246;22.3892317;0.870602417
427R;6.582800473;0.156587733;6.975760692;1.335763638;16.42755074;0.797639152
431L;7.751509223;0.585634334;10.27261181;1.245844344;15.00725653;0.455226074
431R;6.874341675;0.436150985;10.13808179;1.710392567;16.70211079;0.81219436
433L;6.83820676;0.18805701;9.42082663;1.083783106;16.54705761;0.661873489
433R;7.007729936;0.173775165;8.734443002;1.859139872;18.90824631;1.054169951
434L;6.349696988;0.10624374;8.88368727;0.488477;14.83061466;0.627654701
435R;4.865457392;0.329787819;7.475525593;0.153296217;16.76182875;0.205516657
437R;5.412377526;0.331207614;13.73836784;1.633139428;14.44864055;0.548051455
