X-axis,Y-axis,p_f,R2_f,N_f,lower bound 95% CI female,upper bound 95% CI female,Standard error female,RMSE_female,p_m,R2_m,N_m,lower bound 95% CI male,upper bound 95% CI male,Standard error male,RMSE_male
Age / y,Apparent Modulus Demineralized / MPa,0.241,0.04,39,-2.1,0.553,38.5,[37.51914521],0.247,0.05,31,-2.5,0.671,38.4,[37.12880122]
Age / y,Apparent Modulus Mineralized / GPa,0.008,0.17,40,-0.14,-0.022,1.7,[1.66541396],0.356,0.03,33,-0.099,0.037,1.7,[1.60030865]
Age / y,Modulus Mineralized / GPa,0.015,0.15,40,-0.113,-0.013,1.5,[1.41411467],0.396,0.02,33,-0.109,0.044,1.9,[1.8023878]
Age / y,Modulus Demineralized / MPa,0.5,0.01,39,-2.0,0.999,43.2,[42.11899498],0.286,0.04,31,-2.8,0.845,43.6,[42.18758808]
Age / y,Bone Mineral Content / mg HA,0.122,0.06,42,-8.1,0.989,133,[129.45794587],0.695,4.9e-03,34,-4.8,3.2,96.8,[93.93074286]
Age / y,Bone Mineral Density / mg HA / cm³,0.081,0.07,42,-3.5,0.214,54.7,[53.38673129],0.787,2.3e-03,34,-2.1,1.6,44.3,[42.94236124]
Age / y,Bone Volume Fraction / -,0.084,0.07,42,-0.003,2.04e-04,0.048,[0.04732471],0.943,1.6e-04,34,-0.001,0.001,0.032,[0.03095023]
Age / y,Density / g/cm³,0.01,0.14,45,-0.004,-5.41e-04,0.05,[0.04855665],0.901,4.9e-04,34,-0.002,0.002,0.042,[0.04108267]
Age / y,Mineral Weight / g,0.043,0.09,45,-0.002,-3.55e-05,0.03,[0.02898191],0.822,1.6e-03,34,-0.001,0.001,0.031,[0.02992794]
Age / y,Mineral weight fraction / -,0.007,0.16,45,-7.58e-04,-1.27e-04,0.01,[0.00940448],0.78,2.5e-03,34,-7.19e-04,5.45e-04,0.015,[0.01490294]
Age / y,Organic Weight / g,0.177,0.04,45,-9.63e-04,1.83e-04,0.017,[0.01708687],0.491,0.01,34,-4.59e-04,9.36e-04,0.017,[0.01645427]
Age / y,Organic weight fraction / -,0.473,0.01,45,-1.85e-04,3.91e-04,0.009,[0.00858019],0.189,0.05,34,-1.20e-04,5.81e-04,0.009,[0.00826787]
Age / y,Stiffness Demineralized / N/mm,0.227,0.04,39,-1.1,0.262,19.1,[18.5695105],0.222,0.05,31,-1.3,0.31,19.2,[18.57757352]
Age / y,Stiffness Mineralized / N/mm,0.003,0.21,40,-72.0,-15.7,815,[794.65460522],0.699,4.9e-03,33,-46.5,31.6,947,[917.65968997]
Age / y,Tissue Mineral Density / mg HA / cm³,0.975,2.5e-05,42,-0.531,0.548,15.8,[15.41270548],0.451,0.02,34,-1.2,0.558,21.7,[21.0382141]
Age / y,Ultimate Force / N,0.312,0.03,39,-0.884,0.29,16.9,[16.41498548],0.192,0.06,31,-0.951,0.199,13.9,[13.44056636]
Age / y,Ultimate Strain / -,0.913,3.3e-04,39,-4.62e-04,4.14e-04,0.013,[0.01224635],0.506,0.02,31,-5.94e-04,2.99e-04,0.011,[0.01043672]
Age / y,Ultimate Apparent Stress / MPa,0.323,0.03,39,-0.268,0.091,5.1,[5.01114634],0.214,0.05,31,-0.288,0.067,4.3,[4.15722213]
Age / y,Ultimate Collagen Stress / MPa,0.606,7.3e-03,39,-0.231,0.137,5.3,[5.14937982],0.211,0.05,31,-0.318,0.073,4.7,[4.5642516]
Age / y,Ultimate Stress / MPa,0.409,0.02,39,-0.261,0.109,5.3,[5.16249164],0.222,0.05,31,-0.302,0.073,4.5,[4.37873731]
Age / y,Water Weight / g,0.452,0.01,45,-1.34e-04,2.97e-04,0.007,[0.00643077],0.779,2.5e-03,34,-3.60e-04,2.72e-04,0.008,[0.00745337]
Age / y,Water weight fraction / -,0.132,0.05,45,-1.07e-04,7.85e-04,0.014,[0.01329779],0.705,4.5e-03,34,-9.09e-04,6.22e-04,0.019,[0.01805568]
Age / y,Mineral to Matrix Ratio v2/a3 / -,0.193,0.04,45,-0.002,5.13e-04,0.045,[0.0443899],0.153,0.06,34,-0.003,5.33e-04,0.046,[0.04466428]
Age / y,Mineral to Matrix Ratio v1/a1 / -,0.777,1.9e-03,45,-0.004,0.003,0.108,[0.10564204],0.569,0.01,34,-0.005,0.003,0.096,[0.09342023]
Age / y,Crystallinity / -,0.419,0.02,45,-1.99e-05,8.44e-06,4.3e-04,[0.00042277],0.108,0.08,34,-2.86e-05,2.95e-06,3.8e-04,[0.00037188]
Age / y,Collagen dis/order / -,0.067,0.08,45,-1.11e-04,0.003,0.051,[0.04959708],0.467,0.02,34,-0.001,0.002,0.042,[0.04086557]
Age / y,Matrix maturity / -,0.859,7.4e-04,45,-0.002,0.002,0.066,[0.06422256],0.928,2.6e-04,34,-0.002,0.002,0.056,[0.05440755]
Age / y,Relative Pyridinoline Content / -,0.433,0.01,45,-7.21e-06,1.65e-05,3.6e-04,[0.0003541],0.753,3.1e-03,34,-9.73e-06,1.33e-05,2.8e-04,[0.00027178]
Age / y,Relative Proteoglycan Content / -,0.463,0.01,44,-2.61e-04,1.21e-04,0.006,[0.00566848],0.272,0.04,33,-3.23e-04,9.42e-05,0.005,[0.0048927]
Age / y,Relative Lipid Content / -,0.306,0.02,45,-0.003,8.58e-04,0.054,[0.05258533],0.51,0.01,34,-0.005,0.002,0.086,[0.08389561]
Apparent Modulus Mineralized / GPa,Modulus Mineralized / GPa,1.4e-15,0.82,40,0.639,0.875,0.672,[0.65506815],2.8e-16,0.89,33,0.921,1.2,0.63,[0.61054804]
Apparent Modulus Mineralized / GPa,Ultimate Apparent Stress / MPa,9.3e-05,0.34,39,0.871,2.4,4.2,[4.12051223],0.001,0.3,31,0.611,2.3,3.7,[3.56151308]
Apparent Modulus Mineralized / GPa,Ultimate Collagen Stress / MPa,0.006,0.19,39,0.374,2.1,4.8,[4.65883986],0.001,0.3,31,0.658,2.5,4.1,[3.92295786]
Apparent Modulus Mineralized / GPa,Ultimate Stress / MPa,9.6e-04,0.26,39,0.629,2.3,4.6,[4.48839207],0.001,0.3,31,0.63,2.4,3.9,[3.7590383]
Apparent Modulus Mineralized / GPa,Ultimate Strain / -,0.019,0.14,39,4.31e-04,0.005,0.012,[0.01136213],0.054,0.12,31,-4.26e-05,0.005,0.01,[0.00985592]
Apparent Modulus Mineralized / GPa,Apparent Modulus Demineralized / MPa,0.001,0.24,39,4.2,16.3,34.2,[33.29664044],0.008,0.22,31,3.1,18.6,34.7,[33.56878939]
Apparent Modulus Mineralized / GPa,Modulus Demineralized / MPa,0.087,0.08,39,-0.982,13.8,41.8,[40.71753521],0.014,0.19,31,2.5,20.4,40.0,[38.72107224]
Apparent Modulus Mineralized / GPa,Density / g/cm³,0.003,0.21,40,0.004,0.016,0.036,[0.03523322],0.009,0.2,33,0.003,0.02,0.038,[0.03718226]
Apparent Modulus Mineralized / GPa,Mineral weight fraction / -,0.013,0.15,40,4.55e-04,0.004,0.009,[0.00862324],0.008,0.21,33,0.001,0.007,0.014,[0.01347263]
Apparent Modulus Mineralized / GPa,Organic weight fraction / -,0.449,0.02,40,-0.002,9.52e-04,0.009,[0.00851155],0.316,0.03,33,-0.003,9.57e-04,0.009,[0.00848213]
Apparent Modulus Mineralized / GPa,Water weight fraction / -,0.174,0.05,40,-0.004,6.59e-04,0.012,[0.01161418],0.101,0.08,33,-0.007,6.82e-04,0.018,[0.01757014]
Apparent Modulus Mineralized / GPa,Bone Volume Fraction / -,3.3e-06,0.44,40,0.011,0.025,0.039,[0.03769798],0.83,1.5e-03,33,-0.006,0.008,0.032,[0.0309868]
Apparent Modulus Mineralized / GPa,Bone Mineral Density / mg HA / cm³,1.8e-05,0.39,40,11.3,27.3,45.6,[44.49154833],0.323,0.03,33,-4.9,14.4,44.0,[42.65615875]
Apparent Modulus Mineralized / GPa,Tissue Mineral Density / mg HA / cm³,0.74,2.9e-03,40,-2.3,3.2,15.9,[15.46528079],0.054,0.11,33,-0.09,9.1,20.9,[20.25304144]
Apparent Modulus Mineralized / GPa,Mineral to Matrix Ratio v2/a3 / -,0.264,0.03,40,-0.004,0.013,0.047,[0.04554748],9.6e-05,0.39,33,0.01,0.026,0.038,[0.0365014]
Apparent Modulus Mineralized / GPa,Mineral to Matrix Ratio v1/a1 / -,0.917,2.9e-04,40,-0.021,0.019,0.112,[0.10885509],0.039,0.13,33,0.001,0.039,0.087,[0.08418736]
Apparent Modulus Mineralized / GPa,Crystallinity / -,0.515,0.01,40,-1.03e-04,5.23e-05,4.4e-04,[0.00043099],0.283,0.04,33,-4.02e-05,1.33e-04,4.0e-04,[0.00038344]
Apparent Modulus Mineralized / GPa,Collagen dis/order / -,0.183,0.05,40,-0.016,0.003,0.054,[0.05255131],0.812,1.8e-03,33,-0.01,0.008,0.042,[0.0409509]
Apparent Modulus Mineralized / GPa,Matrix maturity / -,0.314,0.03,40,-0.006,0.018,0.068,[0.06588264],0.028,0.15,33,-0.025,-0.001,0.053,[0.05102945]
Apparent Modulus Mineralized / GPa,Relative Pyridinoline Content / -,0.738,3.0e-03,40,-5.45e-05,7.63e-05,3.7e-04,[0.00036406],0.209,0.05,33,-9.89e-05,2.25e-05,2.8e-04,[0.00026888]
Apparent Modulus Mineralized / GPa,Relative Proteoglycan Content / -,0.121,0.06,39,-0.002,2.10e-04,0.006,[0.00540541],0.278,0.04,32,-5.05e-04,0.002,0.005,[0.00481013]
Apparent Modulus Mineralized / GPa,Relative Lipid Content / -,0.433,0.02,40,-0.014,0.006,0.057,[0.05577899],0.607,8.7e-03,33,-0.014,0.024,0.088,[0.08537119]
Ultimate Apparent Stress / MPa,Modulus Mineralized / GPa,7.3e-05,0.35,39,0.096,0.255,1.2,[1.21612248],0.003,0.27,31,0.082,0.363,1.6,[1.58093415]
Ultimate Collagen Stress / MPa,Modulus Mineralized / GPa,6.3e-04,0.27,39,0.07,0.236,1.3,[1.28524985],6.4e-04,0.34,31,0.106,0.35,1.6,[1.5038825]
Ultimate Stress / MPa,Modulus Mineralized / GPa,1.4e-04,0.33,39,0.087,0.245,1.3,[1.23669229],0.001,0.31,31,0.099,0.358,1.6,[1.53284375]
Ultimate Strain / -,Modulus Mineralized / GPa,0.052,0.1,39,-0.421,77.5,1.5,[1.43254324],0.197,0.06,31,-22.9,106,1.9,[1.792038]
Apparent Modulus Demineralized / MPa,Modulus Mineralized / GPa,3.0e-05,0.38,39,0.014,0.035,1.2,[1.18787868],0.002,0.29,31,0.01,0.042,1.6,[1.55889825]
Modulus Demineralized / MPa,Modulus Mineralized / GPa,8.6e-04,0.26,39,0.008,0.028,1.3,[1.29556697],9.3e-04,0.32,31,0.011,0.038,1.6,[1.52262458]
Density / g/cm³,Modulus Mineralized / GPa,0.237,0.04,40,-5.1,19.9,1.5,[1.50281923],0.084,0.09,33,-1.9,28.7,1.8,[1.73654768]
Mineral weight fraction / -,Modulus Mineralized / GPa,0.173,0.05,40,-16.4,88.3,1.5,[1.49366101],0.049,0.12,33,0.274,83.1,1.8,[1.71119093]
Organic weight fraction / -,Modulus Mineralized / GPa,0.392,0.02,40,-82.9,33.2,1.6,[1.51621815],0.118,0.08,33,-133,15.7,1.8,[1.75212994]
Water weight fraction / -,Modulus Mineralized / GPa,0.655,5.3e-03,40,-51.5,32.8,1.6,[1.52703538],0.39,0.02,33,-51.3,20.6,1.9,[1.80185935]
Bone Volume Fraction / -,Modulus Mineralized / GPa,0.08,0.08,40,-1.1,18.1,1.5,[1.46975119],0.095,0.09,33,-38.0,3.2,1.8,[1.74237583]
Bone Mineral Density / mg HA / cm³,Modulus Mineralized / GPa,0.119,0.06,40,-0.002,0.015,1.5,[1.48226435],0.461,0.02,33,-0.021,0.01,1.9,[1.80764132]
Tissue Mineral Density / mg HA / cm³,Modulus Mineralized / GPa,0.538,0.01,40,-0.042,0.022,1.6,[1.52337809],0.229,0.05,33,-0.012,0.049,1.8,[1.78101553]
Mineral to Matrix Ratio v2/a3 / -,Modulus Mineralized / GPa,0.992,2.8e-06,40,-10.8,10.9,1.6,[1.53109432],5.1e-05,0.42,33,14.2,36.0,1.4,[1.39355716]
Mineral to Matrix Ratio v1/a1 / -,Modulus Mineralized / GPa,0.619,6.6e-03,40,-5.7,3.5,1.6,[1.52604403],0.055,0.11,33,-0.165,13.8,1.8,[1.71729837]
Crystallinity / -,Modulus Mineralized / GPa,0.474,0.01,40,-1564,741,1.6,[1.52067827],0.214,0.05,33,-630,2704,1.8,[1.77820185]
Collagen dis/order / -,Modulus Mineralized / GPa,0.142,0.06,40,-15.8,2.3,1.5,[1.48764027],0.46,0.02,33,-22.1,10.2,1.9,[1.80756473]
Matrix maturity / -,Modulus Mineralized / GPa,0.198,0.04,40,-2.6,12.1,1.5,[1.49759885],0.074,0.1,33,-21.9,1.1,1.8,[1.73071386]
Relative Pyridinoline Content / -,Modulus Mineralized / GPa,0.775,2.2e-03,40,-1182,1573,1.6,[1.5294323],0.158,0.06,33,-4005,682,1.8,[1.7652434]
Relative Proteoglycan Content / -,Modulus Mineralized / GPa,0.171,0.05,39,-152,28.0,1.6,[1.51121836],0.298,0.04,32,-65.7,207,1.9,[1.7944793]
Relative Lipid Content / -,Modulus Mineralized / GPa,0.267,0.03,40,-13.7,3.9,1.5,[1.50620046],0.702,4.8e-03,33,-6.3,9.2,1.9,[1.81945164]
Ultimate Collagen Stress / MPa,Ultimate Apparent Stress / MPa,3.0e-24,0.94,39,0.873,1.0,1.3,[1.24094375],1.1e-21,0.96,31,0.822,0.962,0.894,[0.86436203]
Ultimate Stress / MPa,Ultimate Apparent Stress / MPa,1.2e-32,0.98,39,0.917,1.0,0.756,[0.73641939],5.0e-27,0.98,31,0.894,0.99,0.584,[0.56529215]
Ultimate Strain / -,Ultimate Apparent Stress / MPa,1.5e-07,0.53,39,207,397,3.6,[3.48149855],6.1e-06,0.51,31,183,398,3.1,[2.98497287]
